age_cat,race,offense_violent,offense_property,offense_drug,ch_crimhist,ch_probation_num,ch_incarceration_num,co_statustme,drug_any,co_currentoffense,education,citizenship,gender,drug_abuse_dsmiv,drug_dependence,typeoffense,ses_any_children,ch_numcar,cs_sentencemth,life_sentence
4,3,0,0,1,2,0,0,4,2,17,12,2,2,0,0,17,1,0,120,0
3,1,1,0,0,1,0,0,4,1,1,11,1,2,1,1,1,2,0,10000,1
1,1,0,1,0,10,4,4,2,1,9,13,1,2,1,1,9,2,6,6,0
3,2,0,0,1,6,2,3,4,1,17,11,1,2,1,1,17,1,4,36,0
3,1,0,1,0,10,3,1,2,1,9,12,1,2,1,1,9,1,1,24,0
3,2,1,0,0,4,2,3,4,1,6,12,1,2,1,1,6,2,4,120,0
2,1,0,0,0,3,0,0,4,2,24,17,1,2,0,0,21,2,0,1,0
1,2,0,0,1,10,1,0,2,1,17,9,1,2,1,1,17,2,0,36,0
1,2,0,0,1,6,2,3,2,1,16,9,1,2,0,0,16,2,4,24,0
1,2,1,0,0,4,2,0,4,1,6,10,1,2,1,1,6,1,0,42,0
4,1,1,0,0,1,0,0,4,1,2,12,1,2,0,0,2,2,0,132,0
2,1,0,1,0,4,4,0,2,1,14,10,1,2,1,1,14,2,0,5,0
3,3,0,0,1,2,0,0,4,2,17,12,2,2,0,0,17,1,0,180,0
4,3,1,0,0,5,0,1,2,1,1,6,1,2,0,0,1,2,1,10000,1
2,3,0,0,1,2,0,0,4,1,17,19,2,2,0,0,17,1,0,96,0
1,1,1,0,0,4,5,0,4,1,7,12,1,2,1,1,7,2,0,60,0
3,1,0,1,0,5,3,0,2,1,10,11,1,2,1,1,10,2,0,12,0
2,1,0,1,0,4,3,0,4,1,10,10,1,2,1,1,10,1,0,3,0
4,1,0,0,0,10,1,2,4,1,26,13,1,2,1,0,21,1,2,1,0
1,3,0,0,0,6,3,4,4,1,24,7,1,2,1,1,21,2,10,120,0
3,1,0,0,0,10,2,0,2,1,24,14,1,2,1,1,21,1,0,24,0
2,2,1,0,0,4,1,1,4,1,4,9,1,1,1,0,4,2,1,240,0
3,2,1,0,0,4,3,4,2,1,6,13,1,1,1,1,6,2,6,96,0
2,1,1,0,0,1,0,0,4,2,1,13,1,1,0,0,1,2,0,10000,1
2,2,1,0,0,1,0,0,4,1,2,12,2,1,0,0,2,2,0,180,0
3,1,0,1,0,10,3,2,2,1,9,11,1,1,1,1,9,2,2,72,0
3,2,0,1,0,4,2,0,2,1,9,14,1,1,0,0,9,2,0,240,0
6,3,0,0,1,2,0,0,4,2,16,1,2,1,0,0,16,1,0,120,0
3,1,1,0,0,1,2,0,4,1,6,8,1,1,1,1,6,2,0,10000,1
2,3,1,0,0,5,2,0,4,1,1,10,1,1,1,0,1,2,0,10000,1
1,3,1,0,0,4,2,2,1,1,1,8,1,1,1,1,1,1,2,10000,1
3,2,1,0,0,4,1,0,4,1,4,11,1,1,1,1,4,1,0,96,0
4,1,1,0,0,1,0,0,4,1,4,14,1,1,0,0,4,1,0,348,0
4,1,1,0,0,4,4,4,4,1,1,16,1,1,1,0,1,2,9,300,0
2,1,1,0,0,1,0,0,4,1,1,16,1,1,1,1,1,2,0,10000,1
2,3,1,0,0,1,0,0,4,2,7,10,2,1,0,0,7,2,0,240,0
1,3,0,0,1,7,3,0,4,1,16,8,1,1,1,0,16,2,0,60,0
5,6,1,0,0,4,1,0,4,2,4,14,1,1,0,0,4,2,0,192,0
4,2,1,0,0,4,0,1,1,1,6,13,1,1,1,1,6,2,1,10000,1
2,3,0,0,1,6,3,1,4,1,17,10,1,1,1,1,17,1,1,48,0
3,2,0,0,1,2,0,0,2,1,17,12,1,1,1,1,17,2,0,36,0
2,2,0,0,1,2,0,0,4,1,17,12,1,1,1,1,17,2,0,84,0
3,1,1,0,0,4,3,1,4,1,4,8,1,1,1,0,4,1,1,84,0
2,2,1,0,0,4,2,2,2,1,1,12,1,1,1,1,1,2,2,10000,1
4,1,1,0,0,5,2,0,4,1,1,12,1,1,0,0,1,2,0,10000,1
2,3,1,0,0,5,1,2,4,1,2,9,1,1,1,1,2,2,2,180,0
1,3,1,0,0,5,0,0,2,1,1,9,1,1,1,0,1,2,0,180,0
6,4,1,0,0,5,1,0,4,2,5,11,1,1,0,0,5,1,0,60,0
3,3,1,0,0,1,0,0,4,2,4,16,1,1,0,0,4,1,0,96,0
1,3,0,0,1,6,3,4,2,1,17,7,1,1,0,0,17,2,8,60,0
2,3,1,0,0,5,1,1,4,1,6,9,1,1,1,1,6,1,1,60,0
2,1,1,0,0,1,0,0,4,1,1,11,1,1,0,0,1,1,0,10000,1
2,3,1,0,0,1,0,0,4,1,7,12,2,1,1,0,7,1,0,180,0
3,3,0,0,1,7,0,1,4,1,17,19,2,1,0,0,17,1,1,120,0
3,3,0,0,1,2,0,0,4,1,17,7,1,1,0,0,17,1,0,120,0
4,2,1,0,0,4,3,1,1,1,7,12,1,1,0,0,7,2,1,2400,0
1,5,1,0,0,1,2,0,4,2,2,9,1,1,0,0,2,2,0,168,0
4,1,1,0,0,4,1,1,4,1,4,7,1,1,0,0,4,2,1,600,0
3,2,1,0,0,4,2,2,4,1,7,9,1,1,1,0,7,2,2,60,0
2,3,0,0,0,6,2,2,2,1,24,7,1,1,1,1,21,1,2,84,0
2,1,1,0,0,5,3,1,4,1,6,12,1,1,0,0,6,2,1,96,0
2,1,1,0,0,4,1,4,4,1,6,9,1,1,1,1,6,2,10,46,0
3,3,1,0,0,1,0,0,4,1,1,14,2,1,1,0,1,2,0,10000,1
4,2,1,0,0,4,2,1,1,1,6,12,1,1,1,1,6,1,1,264,0
4,1,1,0,0,5,1,0,2,1,1,12,1,1,1,1,1,1,0,10000,1
3,3,0,0,1,2,0,0,4,1,17,19,2,1,0,0,17,2,0,120,0
2,1,1,0,0,4,2,4,4,1,4,11,1,1,1,1,4,2,8,180,0
3,2,1,0,0,4,4,5,1,1,6,10,1,1,1,1,6,1,11,72,0
4,1,1,0,0,4,2,1,4,1,1,12,1,1,1,0,1,2,1,10000,1
4,1,1,0,0,4,1,3,4,1,4,6,1,1,1,1,4,2,4,144,0
3,3,0,0,1,10,0,0,2,1,17,19,2,1,1,0,17,1,0,60,0
4,3,0,0,1,2,0,0,4,2,17,7,2,1,0,0,17,2,0,240,0
3,1,1,0,0,5,5,1,4,1,1,3,2,1,1,1,1,2,1,12,0
3,3,0,0,1,10,1,1,4,1,17,19,2,1,0,0,17,1,1,60,0
5,1,1,0,0,1,0,0,4,2,5,18,1,1,0,0,5,1,0,120,0
3,1,1,0,0,1,1,0,4,1,1,10,1,1,1,1,1,2,0,10000,1
3,1,0,1,0,6,1,3,4,1,13,8,1,1,1,1,13,1,3,36,0
5,3,1,0,0,4,0,2,1,1,5,16,1,1,0,0,5,2,2,96,0
3,3,0,0,1,10,1,0,4,1,17,12,1,1,1,0,17,2,0,240,0
3,1,1,0,0,1,0,0,4,1,4,11,1,1,0,0,4,2,0,60,0
2,1,1,0,0,1,0,0,4,1,1,11,1,1,1,1,1,1,0,12,0
3,1,1,0,0,4,4,0,2,1,4,12,1,1,0,0,4,2,0,120,0
6,1,1,0,0,4,3,4,4,1,4,4,1,1,0,0,4,1,6,10000,1
2,1,0,0,0,6,2,1,2,2,23,14,1,1,0,0,21,1,1,9,0
3,2,1,0,0,5,1,4,4,1,7,9,1,1,0,0,7,2,8,1,0
2,3,1,0,0,4,2,1,4,1,6,9,1,1,1,1,6,2,1,144,0
3,1,1,0,0,1,0,0,4,2,1,12,1,1,0,0,1,2,0,10000,1
2,2,1,0,0,1,0,0,4,1,3,11,1,1,1,0,3,2,0,60,0
2,1,1,0,0,5,1,0,4,1,4,12,1,1,1,1,4,2,0,72,0
4,1,1,0,0,4,0,1,2,1,4,9,1,1,1,0,4,2,1,240,0
3,6,1,0,0,4,2,1,2,1,3,13,1,1,1,1,3,2,1,10000,1
3,2,0,0,1,10,1,3,4,1,17,11,1,1,1,1,17,2,4,48,0
2,2,0,0,0,4,2,4,2,1,24,11,1,1,0,0,21,2,7,120,0
5,1,1,0,0,4,0,4,4,1,1,10,1,1,0,0,1,2,8,10000,1
2,1,1,0,0,4,3,3,4,1,4,13,1,1,1,1,4,2,4,72,0
2,1,1,0,0,4,3,2,1,1,6,10,1,1,1,1,6,1,2,96,0
4,1,1,0,0,4,4,3,4,1,4,9,1,1,0,0,4,1,3,60,0
1,2,1,0,0,1,0,0,4,1,6,10,1,1,1,0,6,2,0,180,0
2,1,0,1,0,3,0,0,4,1,13,18,1,1,0,0,13,2,0,36,0
2,2,0,0,1,6,3,0,1,1,17,11,1,1,0,0,17,2,0,65,0
3,1,1,0,0,1,0,0,4,1,4,13,1,1,1,1,4,2,0,120,0
