3	3	1	0	0	1	0	0	4	1	5	3	2	1	1	0	5	2	0	276
1	1	0	0	1	6	3	3	4	1	17	11	1	1	1	1	17	2	3	72
1	1	0	1	0	10	2	1	2	1	10	8	1	1	0	0	10	1	1	72
1	2	1	0	0	5	1	1	4	1	6	11	1	1	0	0	6	2	1	120
3	1	1	0	0	5	1	1	2	2	3	14	1	1	0	0	3	1	1	504
1	2	1	0	0	1	1	0	4	1	5	11	1	1	1	1	5	2	0	120
2	1	1	0	0	5	3	3	2	1	1	9	1	1	1	0	1	2	4	354
2	2	0	0	1	10	0	0	2	1	16	10	1	1	0	0	16	1	0	108
4	1	0	0	1	2	0	0	4	1	17	14	1	1	0	0	17	2	0	120
2	2	0	0	1	10	3	3	2	1	17	12	1	1	1	1	17	2	3	48
4	2	0	0	0	4	0	1	4	2	19	11	2	1	0	0	19	2	1	120
2	1	0	1	0	1	0	0	4	1	9	7	1	1	0	0	9	2	0	300
1	1	1	0	0	1	0	0	4	1	3	9	1	2	1	1	3	2	0	240
3	1	1	0	0	1	0	0	4	2	8	10	1	2	0	0	8	1	0	0
2	1	0	0	0	6	3	5	4	2	26	11	1	1	0	0	21	2	22	300
3	4	1	0	0	1	0	0	2	1	7	12	1	2	0	0	7	1	0	180
3	2	1	0	0	1	0	0	4	2	7	12	1	1	0	0	7	2	0	48
1	2	0	1	0	8	1	0	2	1	13	11	1	1	0	0	13	2	0	28
3	2	1	0	0	5	2	0	2	1	7	14	1	2	1	0	7	2	0	48
4	1	0	1	0	9	3	5	4	1	9	12	1	1	1	0	9	2	13	60
2	3	1	0	0	4	0	1	1	1	6	10	2	1	0	0	6	1	1	240
2	1	0	0	0	3	0	0	4	1	20	10	1	2	1	0	21	2	0	8
3	2	0	1	0	10	3	1	4	1	9	12	1	1	1	0	9	2	1	84
2	2	0	1	0	10	0	0	2	1	9	10	1	1	1	0	9	1	0	234
4	3	0	0	0	6	1	1	1	2	22	9	1	2	0	0	20	1	1	60
2	2	1	0	0	4	0	1	4	1	6	10	1	1	1	1	6	1	1	240
3	1	1	0	0	4	3	3	1	1	7	14	1	2	0	0	7	1	3	60
3	1	0	0	0	6	0	5	1	1	24	9	1	1	1	1	21	1	15	12
6	1	1	0	0	1	0	0	4	2	4	11	1	1	0	0	4	1	0	300
3	2	0	1	0	3	0	0	4	1	13	16	1	1	1	0	13	2	0	48
3	1	1	0	0	1	1	0	4	1	1	8	1	2	1	0	1	2	0	600
3	1	1	0	0	4	2	1	4	1	6	7	1	1	1	1	6	2	1	120
3	1	0	0	1	10	1	2	1	1	16	10	1	2	1	1	16	2	2	120
2	1	0	0	1	2	0	0	4	1	16	14	1	1	1	1	16	1	0	120
2	2	1	0	0	5	0	0	2	1	6	14	1	1	1	1	6	2	0	480
2	1	1	0	0	5	1	0	1	1	6	16	1	1	1	1	6	2	0	204
1	3	1	0	0	5	1	1	4	1	5	10	1	1	1	0	5	1	1	84
4	2	0	1	0	10	2	0	4	1	14	10	1	1	0	0	14	2	0	114
1	2	1	0	0	4	1	3	4	2	7	10	1	1	0	0	7	2	5	32
3	1	1	0	0	5	2	1	1	1	6	12	1	1	1	1	6	2	1	120
3	2	0	0	1	10	0	1	2	1	18	10	1	2	1	1	18	2	1	33
2	6	1	0	0	5	0	0	2	1	7	10	1	1	1	1	7	2	0	57
3	1	0	0	0	10	1	0	4	2	22	6	1	1	0	0	20	1	0	48
2	3	0	1	0	3	0	0	4	1	13	12	1	2	1	1	13	1	0	16
2	1	1	0	0	1	0	0	2	1	2	9	1	2	1	0	2	2	0	60
3	2	1	0	0	4	0	3	2	1	5	10	1	1	0	0	5	1	3	16
3	2	0	0	1	2	2	0	2	1	16	11	1	2	0	0	16	1	0	36
3	2	1	0	0	1	0	0	4	1	1	12	1	1	0	0	1	1	0	240
2	3	0	0	0	10	0	0	2	1	22	8	1	1	0	0	20	2	0	48
3	2	0	0	1	10	2	1	4	1	17	16	1	1	1	1	17	2	1	72
5	1	0	1	0	10	3	4	4	1	9	7	1	1	1	1	9	1	7	120
2	2	0	0	1	10	3	3	1	1	17	12	1	1	0	0	17	1	5	96
2	2	0	0	1	4	4	3	2	1	17	9	1	1	1	1	17	2	5	36
2	2	0	0	1	6	3	1	2	1	17	12	1	1	0	0	17	2	1	300
4	2	1	0	0	4	3	3	4	1	6	13	1	1	1	1	6	1	5	300
3	4	1	0	0	5	2	3	4	1	6	10	1	1	1	0	6	1	3	600
3	1	1	0	0	5	1	0	2	1	6	9	1	2	0	0	6	1	0	57
1	1	0	1	0	10	1	0	4	1	9	7	1	1	1	1	9	2	0	8
3	2	1	0	0	4	1	2	1	1	6	10	1	1	1	1	6	1	2	240
1	2	1	0	0	1	0	0	4	2	6	10	1	1	0	0	6	2	0	120
1	3	0	1	0	3	0	0	4	2	13	9	1	2	0	0	13	2	0	6
4	4	1	0	0	1	0	0	4	1	1	13	1	1	0	0	1	1	0	232
2	1	0	0	1	10	1	4	4	1	16	11	1	1	1	0	16	2	6	60
3	2	0	0	1	6	1	3	4	1	16	11	1	1	1	1	16	1	4	24
1	4	1	0	0	1	0	0	4	1	6	13	1	1	1	1	6	2	0	72
1	2	1	0	0	1	0	0	4	1	7	11	1	1	1	0	7	2	0	30
3	2	1	0	0	5	2	4	3	1	1	12	1	2	1	1	1	1	9	276
3	1	1	0	0	1	0	0	4	1	6	12	1	1	1	0	6	2	0	180
2	1	0	0	1	10	1	0	4	1	16	12	1	1	1	1	16	2	0	240
4	1	0	1	0	10	2	1	2	1	9	10	1	2	1	1	9	1	1	24
3	2	1	0	0	5	3	4	2	1	5	15	1	1	0	1	5	2	6	180
1	1	0	0	1	10	3	2	4	1	17	8	1	1	1	1	17	2	2	60
2	2	0	0	0	10	1	0	1	1	22	13	1	1	0	0	20	1	0	24
2	3	0	1	0	10	3	0	2	1	10	12	1	1	1	0	10	2	0	24
3	2	1	0	0	4	0	3	4	1	7	11	1	1	0	0	7	2	5	276
3	1	1	0	0	5	1	3	4	1	4	12	1	1	1	1	4	1	3	84
2	2	1	0	0	4	0	1	1	2	6	9	1	1	0	0	6	2	1	180
1	1	0	1	0	3	1	0	4	1	9	11	1	1	1	0	9	2	0	48
1	2	0	1	0	6	3	1	2	1	12	11	1	1	0	0	12	2	1	240
2	2	0	1	0	4	3	1	2	1	14	12	1	1	1	1	14	1	1	60
4	1	1	0	0	4	1	2	4	1	5	6	1	1	0	0	5	1	2	120
3	3	0	0	1	7	1	0	1	1	17	12	1	2	1	1	17	1	0	108
2	1	0	0	0	10	4	4	2	1	22	12	1	1	1	1	20	2	7	168
1	2	0	1	0	3	0	0	4	2	9	10	1	1	0	0	9	2	0	96
2	3	0	0	1	10	3	4	1	1	17	7	1	2	0	0	17	2	10	60
1	2	0	0	1	10	2	0	4	1	17	10	1	1	0	0	17	1	0	72
4	1	0	0	0	10	1	1	4	1	22	18	1	2	0	0	20	2	1	120
4	2	0	1	0	10	0	2	4	1	13	10	1	1	1	1	13	2	2	480
2	1	1	0	0	5	1	4	4	1	1	9	1	1	0	0	1	2	6	720
